Nimi,Indikatiivne palk (AVG),Tööjõumaks 1 töötaja kohta (AVG),Tootajaid (AVG)
"HT MEELELAHUTUS, OÜ",15724.12722,9036.854722,14.66666667
OPTIWIN OÜ,9491.188765,5454.706187,27.5
IMG KASIINOD OÜ,13170.6265,7569.325576,71
TRIOGAMES OÜ,10154.6682,5836.016208,29.75
STAYCOOL OÜ,7296.070237,4193.143815,90.25
"EESTI LOTO, AS",7470.480705,4293.379715,52
KOPIKAS ENTERTAINMENT OÜ,9524.037411,5473.584719,21.75
DREAMBOX GAMES OÜ,7678.336398,4412.83701,15.25
EVENT CENTER OÜ,5466.645031,3141.750018,21.75
"RAFTER, SPORDIKLUBI",5371.977176,3087.343205,21
EESTI VEHKLEMISLIIT,4474.694661,2571.663598,16.75
"PAFER, AS",4370.12983,2511.568868,40.5
"TALLINNA KULTUURIKATEL, SIHTASUTUS",4103.733425,2358.467485,18.5
OÜ LOTTEMAA TEEMAPARK,4096.272362,2354.179518,40.75
"GOLFER, OÜ",4057.743637,2332.036573,27.25
SIHTASUTUS EESTI FILMI INSTITUUT,3975.503374,2284.772054,20
TALLINNA TEHNIKAÜLIKOOLI SPORDIKLUBI,3872.687844,2225.682669,15
"EESTI TEATRI AGENTUUR, SIHTASUTUS",3811.166845,2190.325773,10.25
