Nimi,Indikatiivne palk (AVG),Tööjõumaks 1 töötaja kohta (AVG),Tootajaid (AVG)
NOW! INNOVATIONS TECHNOLOGY OÜ,12603.09972,7243.160758,25.25
SKYPE TECHNOLOGIES OÜ,16958.33785,9746.171179,251.75
TOPIA OÜ,15974.69198,9180.857461,23
TELEPORT TECHNOLOGIES OÜ,14063.7066,8082.59,20
EVOGAME ESTONIA OÜ,10868.63822,6246.343804,20.75
WEATHERME OÜ,15227.42235,8751.392154,14.66666667
TWILIO ESTONIA OÜ,12992.88977,7467.178028,81.25
INTERTRUST TECHNOLOGIES ESTONIA OÜ,15151.75781,8707.906788,14
SIXFOLD GMBH,13560.91729,7793.630627,14.66666667
ZEROTURNAROUND AS,12943.18088,7438.609702,60.5
ONOFFAPP OÜ,12457.24957,7159.338831,31
GRABCAD OÜ,12272.02893,7052.890192,13.75
THRONE GAMING OÜ,11997.98933,6895.396169,21.5
"VIDEOB, OÜ",11217.25413,6446.697776,85.5
ESTNETI OÜ,11187.37172,6429.523976,25
RUSH STREET INTERACTIVE DEVELOPMENT LLC,11067.16566,6360.440036,16.25
DATOMIA RESEARCH LABS OÜ,11045.91324,6348.226,10
JNG INVESTMENTS OÜ,11041.37507,6345.617857,13
